OvO,AUC-score
3 v. 4,0.28935185185185186
4 v. 3,0.5
3 v. 5,0.3485738255033557
5 v. 3,0.7353187919463087
3 v. 6,0.3722337482710927
6 v. 3,0.7187067773167358
3 v. 7,0.48365724381625447
7 v. 3,0.8886925795053005
3 v. 8,0.6059782608695652
8 v. 3,0.8097826086956521
3 v. 9,0.375
9 v. 3,0.875
4 v. 5,0.6732537907034551
5 v. 4,0.6178535918468804
4 v. 6,0.7360790943086932
6 v. 4,0.806208698324881
4 v. 7,0.8256772673733804
7 v. 4,0.9350870304933909
4 v. 8,0.8679549114331723
8 v. 4,0.8804347826086957
4 v. 9,0.9629629629629629
9 v. 4,0.8518518518518519
5 v. 6,0.8369141440864407
6 v. 5,0.8173763309105424
5 v. 7,0.9307278203334362
7 v. 5,0.9352455711812555
5 v. 8,0.9652028012839219
8 v. 5,0.9035599649839511
5 v. 9,0.9664429530201343
9 v. 5,0.8993288590604027
6 v. 7,0.7187855861667864
7 v. 6,0.8291961741663368
6 v. 8,0.7567803235311804
8 v. 6,0.8175175897528414
6 v. 9,0.6141078838174274
9 v. 6,0.8077455048409404
7 v. 8,0.6888923029651253
8 v. 7,0.7445076048548164
7 v. 9,0.5335689045936396
9 v. 7,0.8409893992932862
8 v. 9,0.5434782608695652
9 v. 8,0.8913043478260869
